gene_id,clu
Bradi0012s00100.v3.1,-1
Bradi0012s00201.v3.1,34
Bradi0014s00100.v3.1,-1
Bradi1g00210.v3.1,4
Bradi1g00217.v3.1,-1
Bradi1g00222.v3.1,-1
Bradi1g00247.v3.1,-1
Bradi1g00260.v3.1,-1
Bradi1g00266.v3.1,-1
Bradi1g00284.v3.1,-1
Bradi1g00287.v3.1,-1
Bradi1g00341.v3.1,-1
Bradi1g00361.v3.1,74
Bradi1g00362.v3.1,74
Bradi1g00364.v3.1,74
Bradi1g00366.v3.1,4
Bradi1g00370.v3.1,13
Bradi1g00410.v3.1,4
Bradi1g00417.v3.1,8
Bradi1g00427.v3.1,74
Bradi1g00450.v3.1,-1
Bradi1g00460.v3.1,-1
Bradi1g00470.v3.1,-1
Bradi1g00480.v3.1,-1
Bradi1g00491.v3.1,-1
Bradi1g00497.v3.1,-1
Bradi1g00510.v3.1,-1
Bradi1g00517.v3.1,-1
Bradi1g00530.v3.1,26
Bradi1g00560.v3.1,26
Bradi1g00567.v3.1,-1
Bradi1g00580.v3.1,-1
Bradi1g00587.v3.1,-1
Bradi1g00620.v3.1,19
Bradi1g00666.v3.1,13
Bradi1g00678.v3.1,-1
Bradi1g00690.v3.1,-1
Bradi1g00700.v3.1,-1
Bradi1g00710.v3.1,26
Bradi1g00720.v3.1,13
Bradi1g00730.v3.1,-1
Bradi1g00740.v3.1,26
Bradi1g00750.v3.1,-1
Bradi1g00760.v3.1,8
Bradi1g00780.v3.1,-1
Bradi1g00790.v3.1,19
Bradi1g00807.v3.1,26
Bradi1g00820.v3.1,-1
Bradi1g00830.v3.1,-1
Bradi1g00840.v3.1,22
Bradi1g00847.v3.1,-1
Bradi1g00860.v3.1,-1
Bradi1g00880.v3.1,-1
Bradi1g00887.v3.1,-1
Bradi1g00900.v3.1,26
Bradi1g00910.v3.1,-1
Bradi1g00920.v3.1,-1
Bradi1g00931.v3.1,34
Bradi1g00940.v3.1,-1
Bradi1g00950.v3.1,8
Bradi1g00960.v3.1,-1
Bradi1g00970.v3.1,-1
Bradi1g00980.v3.1,-1
Bradi1g00990.v3.1,-1
Bradi1g01000.v3.1,-1
Bradi1g01007.v3.1,-1
Bradi1g01014.v3.1,-1
Bradi1g01021.v3.1,-1
Bradi1g01047.v3.1,-1
Bradi1g01070.v3.1,-1
Bradi1g01080.v3.1,13
Bradi1g01090.v3.1,-1
Bradi1g01100.v3.1,-1
Bradi1g01110.v3.1,-1
Bradi1g01120.v3.1,-1
Bradi1g01130.v3.1,-1
Bradi1g01140.v3.1,-1
Bradi1g01150.v3.1,26
Bradi1g01170.v3.1,-1
Bradi1g01172.v3.1,13
Bradi1g01200.v3.1,-1
Bradi1g01220.v3.1,-1
Bradi1g01227.v3.1,-1
Bradi1g01250.v3.1,-1
Bradi1g01257.v3.1,-1
Bradi1g01270.v3.1,-1
Bradi1g01280.v3.1,-1
Bradi1g01290.v3.1,-1
Bradi1g01300.v3.1,4
Bradi1g01310.v3.1,-1
Bradi1g01320.v3.1,-1
Bradi1g01330.v3.1,-1
Bradi1g01357.v3.1,34
Bradi1g01363.v3.1,34
Bradi1g01374.v3.1,-1
Bradi1g01380.v3.1,-1
Bradi1g01387.v3.1,-1
Bradi1g01420.v3.1,-1
Bradi1g01432.v3.1,-1
Bradi1g01460.v3.1,-1
Bradi1g01480.v3.1,-1
Bradi1g01487.v3.1,-1
Bradi1g01500.v3.1,-1
Bradi1g01507.v3.1,-1
Bradi1g01530.v3.1,-1
Bradi1g01560.v3.1,-1
Bradi1g01570.v3.1,57
Bradi1g01580.v3.1,-1
Bradi1g01600.v3.1,-1
Bradi1g01610.v3.1,26
Bradi1g01620.v3.1,-1
Bradi1g01630.v3.1,-1
Bradi1g01660.v3.1,-1
Bradi1g01670.v3.1,-1
Bradi1g01692.v3.1,-1
Bradi1g01693.v3.1,34
Bradi1g01710.v3.1,-1
Bradi1g01720.v3.1,26
Bradi1g01730.v3.1,-1
Bradi1g01740.v3.1,-1
Bradi1g01750.v3.1,13
Bradi1g01760.v3.1,13
Bradi1g01770.v3.1,26
Bradi1g01780.v3.1,-1
Bradi1g01790.v3.1,-1
Bradi1g01800.v3.1,22
Bradi1g01802.v3.1,-1
Bradi1g01810.v3.1,-1
Bradi1g01820.v3.1,-1
Bradi1g01830.v3.1,-1
Bradi1g01835.v3.1,13
Bradi1g01840.v3.1,-1
Bradi1g01847.v3.1,-1
Bradi1g01870.v3.1,26
Bradi1g01880.v3.1,-1
Bradi1g01890.v3.1,-1
Bradi1g01900.v3.1,-1
Bradi1g01920.v3.1,26
Bradi1g01930.v3.1,-1
Bradi1g01936.v3.1,-1
Bradi1g01942.v3.1,-1
Bradi1g01948.v3.1,-1
Bradi1g01958.v3.1,26
Bradi1g01970.v3.1,-1
Bradi1g01980.v3.1,-1
Bradi1g01990.v3.1,-1
Bradi1g02000.v3.1,-1
Bradi1g02020.v3.1,-1
Bradi1g02030.v3.1,26
Bradi1g02050.v3.1,4
Bradi1g02056.v3.1,-1
Bradi1g02060.v3.1,-1
Bradi1g02080.v3.1,-1
Bradi1g02090.v3.1,-1
Bradi1g02100.v3.1,-1
Bradi1g02117.v3.1,-1
Bradi1g02130.v3.1,-1
Bradi1g02137.v3.1,-1
Bradi1g02145.v3.1,-1
Bradi1g02150.v3.1,-1
Bradi1g02160.v3.1,13
Bradi1g02170.v3.1,-1
Bradi1g02180.v3.1,-1
Bradi1g02210.v3.1,-1
Bradi1g02220.v3.1,-1
Bradi1g02247.v3.1,-1
Bradi1g02253.v3.1,13
Bradi1g02260.v3.1,-1
Bradi1g02270.v3.1,74
Bradi1g02273.v3.1,74
Bradi1g02280.v3.1,-1
Bradi1g02303.v3.1,-1
Bradi1g02304.v3.1,34
Bradi1g02306.v3.1,-1
Bradi1g02310.v3.1,-1
Bradi1g02350.v3.1,-1
Bradi1g02370.v3.1,-1
Bradi1g02380.v3.1,-1
Bradi1g02390.v3.1,-1
Bradi1g02400.v3.1,22
Bradi1g02420.v3.1,34
Bradi1g02440.v3.1,-1
Bradi1g02450.v3.1,-1
Bradi1g02480.v3.1,-1
Bradi1g02483.v3.1,26
Bradi1g02490.v3.1,-1
Bradi1g02505.v3.1,26
Bradi1g02510.v3.1,26
Bradi1g02517.v3.1,-1
Bradi1g02530.v3.1,26
Bradi1g02535.v3.1,-1
Bradi1g02540.v3.1,-1
Bradi1g02550.v3.1,26
Bradi1g02560.v3.1,-1
Bradi1g02570.v3.1,13
Bradi1g02580.v3.1,-1
Bradi1g02590.v3.1,-1
Bradi1g02597.v3.1,-1
Bradi1g02610.v3.1,-1
Bradi1g02621.v3.1,-1
Bradi1g02630.v3.1,-1
Bradi1g02635.v3.1,74
Bradi1g02640.v3.1,-1
Bradi1g02650.v3.1,-1
Bradi1g02680.v3.1,-1
Bradi1g02690.v3.1,13
Bradi1g02697.v3.1,13
Bradi1g02710.v3.1,-1
Bradi1g02720.v3.1,-1
Bradi1g02730.v3.1,13
Bradi1g02740.v3.1,-1
Bradi1g02750.v3.1,74
Bradi1g02760.v3.1,-1
Bradi1g02770.v3.1,-1
Bradi1g02780.v3.1,-1
Bradi1g02800.v3.1,13
Bradi1g02805.v3.1,26
Bradi1g02810.v3.1,-1
Bradi1g02840.v3.1,-1
Bradi1g02880.v3.1,-1
Bradi1g02890.v3.1,-1
Bradi1g02910.v3.1,-1
Bradi1g02920.v3.1,-1
Bradi1g02930.v3.1,-1
Bradi1g02940.v3.1,-1
Bradi1g02950.v3.1,-1
Bradi1g02960.v3.1,-1
Bradi1g02980.v3.1,26
Bradi1g02990.v3.1,-1
Bradi1g03000.v3.1,13
Bradi1g03010.v3.1,-1
Bradi1g03020.v3.1,-1
Bradi1g03030.v3.1,-1
Bradi1g03050.v3.1,74
Bradi1g03056.v3.1,26
Bradi1g03090.v3.1,13
Bradi1g03105.v3.1,26
Bradi1g03110.v3.1,-1
Bradi1g03120.v3.1,-1
Bradi1g03130.v3.1,-1
Bradi1g03142.v3.1,26
Bradi1g03150.v3.1,-1
Bradi1g03160.v3.1,-1
Bradi1g03170.v3.1,-1
Bradi1g03180.v3.1,-1
Bradi1g03191.v3.1,34
Bradi1g03207.v3.1,22
Bradi1g03220.v3.1,26
Bradi1g03235.v3.1,19
