DataAcc	SpecAcc	Age	RunID	ZTime	gtype	light	temp	sampleID	header_	ZTime_int	fname_	date	genome	tophatOpt	trimmoOpt	type	bname	sampleCode	mapped_reads	total_reads	runID
181RS27	Ath	adult	181R	ZT12	1487		27C	S27		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/181R_Q/181RQ-181R-Q-875-1487-ZT12-27C-adult_S27_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-d111dcd2-013d-46ec-84ff-17c7123c2370_output-folder/star_out/181R-Q-875-1487-ZT12-27C-adult_S27.fastq.gz/read_counts.tsv						181R-Q-875-1487-ZT12-27C-adult_S27	875.0	7079070.0	7636322.0	181R
181RS24	Ath	adult	181R	ZT12	Col		27C	S24		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/181R_Q/181RQ-181R-Q-872-Col-ZT12-27C-adult_S24_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-8c6d4e3d-f036-4040-ae5f-8fa01f0f1353_output-folder/star_out/181R-Q-872-Col-ZT12-27C-adult_S24.fastq.gz/read_counts.tsv						181R-Q-872-Col-ZT12-27C-adult_S24	872.0	15891025.0	17057549.0	181R
181RS26	Ath	adult	181R	ZT12	Col		27C	S26		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/181R_Q/181RQ-181R-Q-874-Col-ZT12-27C-adult_S26_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-ae75a350-83f5-46e4-bfb0-454459f039a0_output-folder/star_out/181R-Q-874-Col-ZT12-27C-adult_S26.fastq.gz/read_counts.tsv						181R-Q-874-Col-ZT12-27C-adult_S26	874.0	9790567.0	10480228.0	181R
183RS2	Ath	unknown	183R	ZT8	Col		12C	S2		8	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/183R_Q/183RQ-183RQ-Col-ZT8-12C_S2_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-b4a8dc1c-4f9f-4ec5-9e59-98a6b0820a62_output-folder/star_out/183RQ-Col-ZT8-12C_S2.fastq.gz/read_counts.tsv						183RQ-Col-ZT8-12C_S2		18638075.0	20969215.0	183R
183RS23	Ath	unknown	183R	ZT12	Col		12C	S23		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/183R_Q/183RQ-183RQ-Col-ZT8-27C_S23_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-f18769ca-684a-47ac-9131-48d2ba662d61_output-folder/star_out/183RQ-Col-ZT8-27C_S23.fastq.gz/read_counts.tsv						183RQ-Col-ZT12-12C_S23		10837996.0	11744531.0	183R
181RS4	Ath	unknown	181R	ZT8	Col		22C	S4		8	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/181R_Q/181RQ-181R-Q-852-Col-ZT8-22C_S4_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-fc7b59f6-90ae-47d6-a677-ee9c9accb7aa_output-folder/star_out/181R-Q-852-Col-ZT8-22C_S4.fastq.gz/read_counts.tsv						181R-Q-852-Col-ZT8-22C_S4	852.0	16796489.0	18101679.0	181R
181RS14	Ath	unknown	181R	ZT12	Col		22C	S14		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/181R_Q/181RQ-181R-Q-862-Col-ZT12-22C_S14_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-0869177b-fbbe-4b9c-a588-8a1fb2cca53d_output-folder/star_out/181R-Q-862-Col-ZT12-22C_S14.fastq.gz/read_counts.tsv						181R-Q-862-Col-ZT12-22C_S14	862.0	13743338.0	14982032.0	181R
183RS13	Ath	unknown	183R	ZT8	Col		27C	S13		8	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/183R_Q/183RQ-183RQ-Col-ZT8-27C_S13_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-d86abcbd-1253-4167-bbe0-f4fd1b5e5469_output-folder/star_out/183RQ-Col-ZT8-27C_S13.fastq.gz/read_counts.tsv						183RQ-Col-ZT8-27C_S13		15074608.0	16538160.0	183R
184RS10	Ath	unknown	184R	ZT12	Col		27C	S10		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/184R_Q/184RQ-184R-Q-910-Col-ZT12-27_S10_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-71e9f55f-376a-4b3d-8863-d9fee1522284_output-folder/star_out/184R-Q-910-Col-ZT12-27_S10.fastq.gz/read_counts.tsv						184R-Q-910-Col-ZT12-27C_S10	910.0	22010195.0	23827582.0	184R
181RS9	Ath	unknown	181R	ZT8	Col		27C	S9		8	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/181R_Q/181RQ-181R-Q-857-Col-ZT8-27C_S9_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-0a7c0255-1acd-48c2-a15c-2d436aaef8c8_output-folder/star_out/181R-Q-857-Col-ZT8-27C_S9.fastq.gz/read_counts.tsv						181R-Q-857-Col-ZT8-27C_S9	857.0	16640019.0	18390433.0	181R
